PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,IsAlone,HasCabin,AgeGroup
27,1,2,"Brown, Mr. Samuel",male,41.6,0,0,LINE 11083,60.02,F158,Q,1,1,1,Adulto
28,1,3,"Lewis, Mr. Miguel",male,21.9,0,0,SOTON 42856,6.97,Unknown,S,1,1,0,Adulto
29,0,3,"Hall, Mr. William",male,5.5,0,0,W./C. 83860,9.39,Unknown,S,1,1,0,Niño
30,0,3,"King, Mr. Alejandro",male,32.6,0,1,C.A. 53925,49.79,Unknown,C,2,0,0,Adulto
31,0,3,"King, Mr. Carlos",male,21.2,0,0,SOTON 9809,13.51,Unknown,C,1,1,0,Adulto
32,1,3,"Green, Miss. Anna",female,7.9,1,0,PC 83383,8.56,Unknown,S,2,0,0,Niño
33,1,3,"Allen, Mrs. Alice",female,25.4,2,0,W./C. 10179,17.27,Unknown,S,3,0,0,Adulto
34,0,3,"Lewis, Mr. Daniel",male,26.8,0,0,C.A. 53341,7.92,Unknown,S,1,1,0,Adulto
35,0,3,"Hernández, Mr. William",male,15.6,0,0,PC 8772,7.84,Unknown,S,1,1,0,Joven
36,0,3,"Smith, Miss. Margaret",female,20.6,1,0,PC 27251,38.31,Unknown,S,2,0,0,Adulto
37,0,3,"Smith, Mrs. Elena",female,25.8,0,0,SOTON 31550,13.46,Unknown,S,1,1,0,Adulto
38,1,1,"Davies, Mrs. Lucía",female,34.5,3,2,SOTON 45328,108.33,Unknown,S,6,0,0,Adulto
39,0,3,"King, Mr. George",male,6.2,0,2,STON/O2 19047,4.98,Unknown,S,3,0,0,Niño
40,1,3,"Thomas, Mr. Alejandro",male,49.0,0,0,STON/O2 99903,20.75,Unknown,S,1,1,0,Adulto
41,1,3,"Taylor, Mr. Henry",male,15.7,0,4,SOTON 52495,9.91,Unknown,S,5,0,0,Joven
42,1,2,"Green, Miss. Florence",female,2.6,0,1,A/5 64006,45.35,Unknown,C,2,0,0,Niño
43,0,3,"Hernández, Mr. Edward",male,42.3,2,0,PC 5813,11.59,Unknown,S,3,0,0,Adulto
44,0,3,"Clark, Mr. Charles",male,46.4,0,0,C.A. 67425,25.21,Unknown,S,1,1,0,Adulto
45,1,1,"García, Mrs. Florence",female,48.7,0,0,LINE 60375,67.83,D16,S,1,1,1,Adulto
46,0,3,"Wilson, Mr. Alejandro",male,29.9,0,0,PC 84577,5.17,Unknown,S,1,1,0,Adulto
47,0,3,"López, Mr. James",male,24.3,1,0,STON/O2 38967,5.0,Unknown,S,2,0,0,Adulto
48,0,3,"Lewis, Mrs. María",female,33.0,0,1,STON/O2 74326,8.91,Unknown,S,2,0,0,Adulto
49,1,1,"King, Mrs. Margaret",female,29.9,0,0,STON/O2 35612,44.91,Unknown,C,1,1,0,Adulto
50,0,2,"Hall, Mr. Alejandro",male,29.9,0,2,W./C. 44621,60.27,Unknown,C,3,0,0,Adulto
51,0,3,"Smith, Mr. Samuel",male,49.8,0,1,LINE 69077,30.23,Unknown,S,2,0,0,Adulto
52,1,3,"Wright, Mrs. Helen",female,31.6,0,0,W./C. 65769,34.48,Unknown,S,1,1,0,Adulto
53,1,1,"López, Mr. John",male,29.9,0,1,LINE 41434,218.27,Unknown,S,2,0,0,Adulto
54,1,3,"Martínez, Mrs. Alice",female,38.0,0,0,SOTON 8544,11.93,Unknown,S,1,1,0,Adulto
55,1,3,"Allen, Miss. Margaret",female,13.4,0,0,PC 98538,12.01,Unknown,S,1,1,0,Joven
56,1,3,"Walker, Miss. Anna",female,24.3,1,0,STON/O2 94924,6.99,Unknown,C,2,0,0,Adulto
57,1,1,"Evans, Mrs. Florence",female,32.7,0,0,STON/O2 34639,101.1,Unknown,S,1,1,0,Adulto
58,0,3,"Green, Mr. Luis",male,29.9,3,0,A/5 2491,13.55,Unknown,C,4,0,0,Adulto
59,1,3,"Ramírez, Mr. Luis",male,29.9,2,0,STON/O2 64418,9.21,Unknown,C,3,0,0,Adulto
60,0,3,"King, Mr. Samuel",male,28.4,1,0,C.A. 93673,12.34,Unknown,C,2,0,0,Adulto
61,1,2,"Young, Mrs. Ethel",female,26.0,0,0,A/5 96724,28.15,Unknown,C,1,1,0,Adulto
62,0,3,"Lewis, Mr. Robert",male,38.5,0,0,PC 78602,18.7,Unknown,S,1,1,0,Adulto
63,0,3,"Roberts, Mr. Samuel",male,34.5,0,0,A/5 29488,13.65,Unknown,S,1,1,0,Adulto
64,1,3,"Martin, Mrs. Camila",female,34.0,2,2,A/5 71593,8.96,Unknown,S,5,0,0,Adulto
65,1,1,"Wright, Mrs. Emily",female,33.1,1,0,A/5 99797,70.39,Unknown,S,2,0,0,Adulto
66,0,2,"Green, Mrs. Elizabeth",female,34.5,0,0,LINE 77539,77.75,Unknown,S,1,1,0,Adulto
67,1,3,"Clark, Mr. Samuel",male,29.9,1,0,LINE 78980,10.0,Unknown,Q,2,0,0,Adulto
68,0,2,"Young, Mr. Carlos",male,27.2,0,0,PC 43940,32.05,Unknown,S,1,1,0,Adulto
69,1,3,"Lewis, Mr. Miguel",male,49.1,2,0,W./C. 31420,10.15,Unknown,S,3,0,0,Adulto
70,0,3,"Young, Mr. Henry",male,50.2,0,0,PC 10323,6.24,Unknown,S,1,1,0,Adulto
71,1,3,"Roberts, Mr. Edward",male,29.9,0,0,LINE 98082,23.13,Unknown,S,1,1,0,Adulto
72,1,2,"Martin, Mrs. María",female,51.9,0,0,W./C. 76798,25.85,Unknown,S,1,1,0,Adulto
73,1,1,"Brown, Mrs. Sofía",female,38.7,1,1,A/5 12475,270.52,Unknown,S,3,0,0,Adulto
74,0,3,"Martin, Mr. William",male,29.9,5,0,A/5 62382,6.04,Unknown,S,6,0,0,Adulto
75,0,1,"Green, Mr. George",male,14.4,1,0,A/5 62016,161.34,Unknown,S,2,0,0,Joven
76,0,1,"Allen, Mr. Edward",male,29.9,1,0,W./C. 42013,71.67,Unknown,S,2,0,0,Adulto
77,0,1,"Wilson, Mr. Henry",male,41.2,1,0,A/5 7628,77.6,Unknown,S,2,0,0,Adulto
78,0,3,"Evans, Mr. Henry",male,47.7,1,0,C.A. 39992,28.65,Unknown,Q,2,0,0,Adulto
79,1,1,"Martínez, Mr. Charles",male,29.9,0,0,A/5 52087,95.81,Unknown,Q,1,1,0,Adulto
80,0,3,"Davies, Mr. Henry",male,29.9,0,0,STON/O2 78056,20.72,Unknown,S,1,1,0,Adulto
81,1,2,"Scott, Mrs. Lucía",female,43.0,0,2,STON/O2 37733,25.1,Unknown,S,3,0,0,Adulto
82,0,3,"Green, Mr. Luis",male,33.0,1,1,W./C. 56627,4.57,Unknown,S,3,0,0,Adulto
83,0,3,"Brown, Mrs. Camila",female,48.9,0,0,W./C. 82842,5.18,Unknown,S,1,1,0,Adulto
84,0,3,"Lewis, Mr. Arthur",male,38.8,0,0,LINE 95125,10.7,Unknown,S,1,1,0,Adulto
85,0,3,"Davies, Mrs. Elizabeth",female,44.0,0,0,A/5 44018,13.64,Unknown,S,1,1,0,Adulto
86,0,1,"Green, Mr. Samuel",male,37.4,0,1,C.A. 81033,71.82,Unknown,C,2,0,0,Adulto
87,0,3,"Wilson, Mr. Robert",male,15.1,2,0,PC 63139,10.43,Unknown,C,3,0,0,Joven
88,1,1,"Allen, Mrs. Emily",female,29.9,0,0,STON/O2 9971,100.46,Unknown,S,1,1,0,Adulto
89,1,3,"Davies, Mr. Carlos",male,25.5,0,0,LINE 28445,14.99,Unknown,S,1,1,0,Adulto
90,0,1,"Wright, Mr. John",male,53.0,1,0,LINE 27958,112.2,Unknown,C,2,0,0,Adulto
91,0,3,"Young, Mr. George",male,25.3,0,0,PC 19813,6.43,Unknown,S,1,1,0,Adulto
92,1,3,"Walker, Mr. Samuel",male,21.8,0,0,C.A. 40976,10.85,Unknown,S,1,1,0,Adulto
93,1,3,"Walker, Mr. Carlos",male,38.8,0,0,C.A. 84986,15.87,Unknown,C,1,1,0,Adulto
94,1,3,"Thomas, Mr. Carlos",male,49.6,0,0,W./C. 99260,12.53,Unknown,S,1,1,0,Adulto
95,0,2,"Brown, Mr. Thomas",male,37.3,0,0,PC 61540,23.88,Unknown,S,1,1,0,Adulto
96,0,2,"Walker, Mr. William",male,59.0,0,0,LINE 36826,36.46,Unknown,S,1,1,0,Adulto
97,0,3,"Evans, Mr. Daniel",male,26.1,1,0,LINE 7590,12.04,Unknown,S,2,0,0,Adulto
98,0,2,"Thomas, Mr. Miguel",male,46.8,1,0,PC 92889,56.37,Unknown,S,2,0,0,Adulto
99,0,3,"Hall, Mr. George",male,9.1,2,0,W./C. 17950,21.54,Unknown,S,3,0,0,Niño
100,1,3,"Evans, Mr. Arthur",male,26.8,0,0,C.A. 87340,17.41,Unknown,C,1,1,0,Adulto
101,0,3,"Walker, Miss. Isabella",female,21.6,0,0,W./C. 82569,18.67,Unknown,Q,1,1,0,Adulto
102,1,3,"Hall, Mr. Samuel",male,5.4,0,0,W./C. 93072,6.41,Unknown,S,1,1,0,Niño
103,1,3,"Ramírez, Mr. George",male,22.3,2,0,W./C. 60169,9.75,Unknown,S,3,0,0,Adulto
104,1,3,"García, Mrs. Ethel",female,29.9,0,1,C.A. 73808,18.85,Unknown,S,2,0,0,Adulto
105,0,3,"Brown, Mr. Charles",male,21.6,0,0,A/5 95632,7.88,Unknown,S,1,1,0,Adulto
106,0,3,"Taylor, Mr. George",male,70.3,0,0,PC 9308,2.98,Unknown,C,1,1,0,Adulto mayor
107,1,3,"Roberts, Mrs. Margaret",female,59.3,2,0,PC 88990,15.41,Unknown,S,3,0,0,Adulto
108,1,1,"King, Mrs. Lucía",female,29.9,1,0,W./C. 35069,56.83,A31,S,2,0,1,Adulto
109,0,2,"Wright, Mr. Edward",male,21.5,0,0,A/5 27144,56.34,Unknown,S,1,1,0,Adulto
110,0,3,"Davies, Mr. Arthur",male,34.8,1,1,C.A. 48405,19.63,Unknown,S,3,0,0,Adulto
111,1,3,"Hernández, Miss. Anna",female,5.2,0,1,W./C. 13471,10.86,Unknown,S,2,0,0,Niño
112,1,1,"Wright, Miss. María",female,3.8,2,0,LINE 88873,165.15,Unknown,S,3,0,0,Niño
113,0,3,"Lewis, Mr. James",male,29.9,0,3,PC 55781,9.19,Unknown,S,4,0,0,Adulto
114,0,1,"Allen, Mr. Samuel",male,26.2,0,1,PC 90222,248.39,Unknown,S,2,0,0,Adulto
115,1,3,"Brown, Mr. James",male,31.4,0,0,W./C. 1461,11.79,Unknown,S,1,1,0,Adulto
116,1,3,"Green, Miss. Elizabeth",female,29.9,0,0,PC 29010,15.4,Unknown,S,1,1,0,Adulto
117,0,2,"Davies, Miss. Lucía",female,19.8,0,0,C.A. 78056,34.23,Unknown,Q,1,1,0,Joven
118,1,3,"Allen, Mrs. Alice",female,29.9,0,0,PC 5908,14.43,Unknown,S,1,1,0,Adulto
119,0,2,"Roberts, Miss. Margaret",female,23.7,0,0,A/5 72347,18.22,F61,S,1,1,1,Adulto
120,0,3,"Davies, Mr. Alejandro",male,27.0,1,2,STON/O2 34347,13.7,Unknown,C,4,0,0,Adulto
121,0,2,"Scott, Mr. William",male,31.5,0,0,LINE 16575,43.98,Unknown,S,1,1,0,Adulto
122,1,3,"Hall, Mrs. Edith",female,29.9,0,3,PC 62471,12.4,Unknown,C,4,0,0,Adulto
123,1,1,"Young, Mrs. Ethel",female,44.7,0,1,W./C. 83414,85.0,Unknown,S,2,0,0,Adulto
124,0,3,"Evans, Mr. Arthur",male,25.5,0,0,W./C. 70333,18.56,Unknown,C,1,1,0,Adulto
125,0,2,"Wright, Mr. James",male,30.1,0,0,C.A. 73728,15.79,Unknown,S,1,1,0,Adulto
126,1,1,"King, Mr. Henry",male,23.2,0,0,STON/O2 44703,41.73,Unknown,S,1,1,0,Adulto
127,0,3,"Martin, Mr. Edward",male,39.7,4,0,SOTON 42210,23.7,Unknown,S,5,0,0,Adulto
128,0,2,"Ramírez, Mrs. Emily",female,26.3,1,2,PC 22622,36.06,Unknown,S,4,0,0,Adulto
129,0,3,"Wilson, Mrs. Anna",female,39.9,4,0,LINE 39572,16.51,Unknown,S,5,0,0,Adulto
130,0,2,"Young, Mr. James",male,34.8,0,0,W./C. 22154,13.15,Unknown,S,1,1,0,Adulto
131,0,1,"Smith, Mr. Arthur",male,39.5,0,0,SOTON 69960,253.61,C20,Q,1,1,1,Adulto
132,0,1,"Hernández, Mr. Miguel",male,29.9,2,0,SOTON 5875,113.03,Unknown,S,3,0,0,Adulto
133,0,2,"Martin, Miss. Mary",female,17.3,0,0,STON/O2 25319,33.08,Unknown,S,1,1,0,Joven
134,0,2,"Davies, Mrs. María",female,43.8,0,0,STON/O2 15498,64.37,Unknown,S,1,1,0,Adulto
135,0,3,"Johnson, Mr. Arthur",male,24.9,0,2,LINE 99180,21.77,Unknown,S,3,0,0,Adulto
136,0,2,"Clark, Mr. James",male,56.1,0,0,STON/O2 78176,21.6,Unknown,S,1,1,0,Adulto
137,0,1,"Martínez, Mr. John",male,43.1,1,0,A/5 75907,63.38,Unknown,S,2,0,0,Adulto
138,1,3,"King, Mrs. María",female,26.3,1,0,LINE 79557,3.87,Unknown,S,2,0,0,Adulto
139,0,2,"Green, Mr. Henry",male,22.6,0,1,A/5 80291,22.84,E17,Q,2,0,1,Adulto
140,1,1,"Hall, Mr. Edward",male,12.7,2,0,C.A. 16390,81.24,C87,S,3,0,1,Niño
141,0,3,"Davies, Mr. Carlos",male,27.1,0,2,LINE 87953,18.18,Unknown,C,3,0,0,Adulto
142,0,2,"King, Mr. Henry",male,29.9,0,0,W./C. 86628,31.16,Unknown,S,1,1,0,Adulto
143,1,3,"Wilson, Mr. Arthur",male,31.6,0,0,STON/O2 89912,9.83,Unknown,S,1,1,0,Adulto
144,0,3,"Green, Mr. Robert",male,33.0,0,3,PC 52940,6.2,Unknown,S,4,0,0,Adulto
145,0,3,"Wright, Mr. Henry",male,20.3,4,0,SOTON 41479,10.14,Unknown,S,5,0,0,Adulto
146,1,3,"Young, Mrs. Florence",female,29.9,0,0,LINE 81754,10.03,Unknown,S,1,1,0,Adulto
147,0,3,"Clark, Mr. Alejandro",male,19.2,1,0,PC 95463,18.31,Unknown,S,2,0,0,Joven
148,1,3,"Lewis, Miss. Anna",female,29.9,1,0,W./C. 44399,34.93,Unknown,S,2,0,0,Adulto
149,0,3,"King, Mr. Carlos",male,3.7,0,0,STON/O2 77452,7.9,Unknown,C,1,1,0,Niño
150,0,2,"King, Mr. Charles",male,7.2,0,0,SOTON 39655,20.11,Unknown,C,1,1,0,Niño
151,1,2,"Johnson, Mrs. Lucía",female,29.5,4,0,C.A. 76745,13.11,Unknown,S,5,0,0,Adulto
152,0,3,"Young, Mrs. Alice",female,29.9,0,0,SOTON 2876,9.51,Unknown,S,1,1,0,Adulto
153,0,3,"Allen, Mr. Arthur",male,7.4,0,0,W./C. 70255,10.9,Unknown,S,1,1,0,Niño
154,0,3,"Green, Mr. John",male,17.8,0,0,W./C. 15662,8.45,Unknown,S,1,1,0,Joven
155,1,3,"Roberts, Mr. James",male,3.3,3,0,A/5 76929,10.15,Unknown,S,4,0,0,Niño
156,1,1,"King, Mrs. Sofía",female,28.7,1,0,LINE 3149,92.05,Unknown,S,2,0,0,Adulto
157,0,1,"Allen, Mr. Henry",male,29.9,0,0,A/5 47808,55.66,Unknown,C,1,1,0,Adulto
158,1,1,"Hernández, Mrs. Margaret",female,40.4,0,1,A/5 31936,67.81,Unknown,S,2,0,0,Adulto
159,0,3,"Hernández, Mr. Edward",male,25.0,0,0,C.A. 63380,12.57,Unknown,S,1,1,0,Adulto
160,0,2,"Allen, Mr. Samuel",male,46.0,0,0,W./C. 1912,46.24,Unknown,S,1,1,0,Adulto
161,0,3,"Martin, Mr. Daniel",male,16.6,0,0,C.A. 58134,24.69,Unknown,S,1,1,0,Joven
162,1,2,"Johnson, Miss. Mary",female,29.9,1,0,C.A. 96992,32.35,Unknown,S,2,0,0,Adulto
163,0,3,"Lewis, Mr. Henry",male,46.6,0,2,PC 78817,2.61,Unknown,C,3,0,0,Adulto
164,1,3,"Evans, Mrs. Margaret",female,47.2,0,0,SOTON 97390,6.99,Unknown,S,1,1,0,Adulto
165,1,2,"Clark, Mrs. Margaret",female,31.2,2,0,SOTON 19217,9.55,Unknown,S,3,0,0,Adulto
166,1,3,"Ramírez, Miss. María",female,29.9,1,0,W./C. 20115,5.55,Unknown,S,2,0,0,Adulto
167,0,3,"Davies, Mr. Robert",male,29.9,0,0,SOTON 47780,15.91,Unknown,Q,1,1,0,Adulto
168,0,3,"Thomas, Mr. Luis",male,29.9,0,1,PC 83469,9.98,Unknown,S,2,0,0,Adulto
169,1,1,"Johnson, Mr. Alejandro",male,21.0,0,1,PC 39586,55.91,Unknown,S,2,0,0,Adulto
170,0,3,"Wright, Mr. Samuel",male,29.9,1,0,LINE 65189,14.19,Unknown,S,2,0,0,Adulto
171,1,1,"Martin, Mrs. Lucía",female,38.5,2,0,A/5 22254,48.74,Unknown,S,3,0,0,Adulto
172,1,3,"Evans, Mrs. Elizabeth",female,43.7,2,0,STON/O2 66876,10.85,Unknown,S,3,0,0,Adulto
173,1,1,"Hall, Mrs. Anna",female,46.3,0,0,PC 36850,13.34,Unknown,Q,1,1,0,Adulto
174,1,2,"Lewis, Mr. Arthur",male,29.9,0,1,STON/O2 69228,14.54,Unknown,S,2,0,0,Adulto
175,1,2,"García, Miss. Elena",female,3.6,0,1,W./C. 98467,32.65,Unknown,S,2,0,0,Niño
176,0,2,"Allen, Mr. Arthur",male,29.9,1,1,C.A. 22074,8.73,Unknown,C,3,0,0,Adulto
177,1,2,"Walker, Mr. George",male,18.7,0,0,W./C. 55737,22.13,Unknown,C,1,1,0,Joven
178,0,1,"Walker, Mr. Carlos",male,29.9,0,0,C.A. 52524,217.21,Unknown,S,1,1,0,Adulto
179,0,1,"Clark, Mr. Daniel",male,24.2,1,0,LINE 17930,112.45,Unknown,S,2,0,0,Adulto
180,0,3,"Hall, Mr. James",male,42.1,0,0,STON/O2 22263,8.67,Unknown,C,1,1,0,Adulto
181,0,3,"Green, Mr. Arthur",male,11.9,0,0,SOTON 15235,23.05,Unknown,C,1,1,0,Niño
182,1,1,"Lewis, Miss. Alice",female,8.1,0,1,C.A. 98048,50.45,Unknown,C,2,0,0,Niño
183,1,2,"Young, Mrs. Helen",female,40.4,0,0,C.A. 17075,29.95,Unknown,Q,1,1,0,Adulto
184,1,1,"Allen, Mr. Luis",male,52.5,1,0,C.A. 98753,76.01,Unknown,S,2,0,0,Adulto
185,1,2,"Wilson, Mr. Miguel",male,37.1,1,0,PC 38921,36.24,Unknown,S,2,0,0,Adulto
186,1,3,"López, Mr. Luis",male,5.0,0,1,LINE 11939,20.89,Unknown,S,2,0,0,Niño
187,0,3,"Walker, Miss. Sofía",female,5.4,1,0,PC 99142,11.98,Unknown,Q,2,0,0,Niño
188,0,1,"Wright, Miss. Lucía",female,12.6,0,0,PC 90783,9999.0,E90,S,1,1,1,Niño
189,1,3,"King, Miss. Alice",female,1.3,0,0,STON/O2 86786,29.13,Unknown,C,1,1,0,Niño
190,1,1,"Hall, Miss. Isabella",female,21.7,0,2,SOTON 89871,66.88,B35,S,3,0,1,Adulto
191,1,3,"Brown, Mr. Daniel",male,29.9,0,2,LINE 11844,56.23,Unknown,C,3,0,0,Adulto
192,0,3,"Davies, Mrs. Emily",female,31.1,0,0,STON/O2 19720,17.22,Unknown,S,1,1,0,Adulto
193,1,3,"Hall, Mrs. Lucía",female,38.3,0,2,LINE 21401,7.22,Unknown,S,3,0,0,Adulto
194,0,3,"López, Mr. Alejandro",male,29.9,0,0,C.A. 70927,16.15,Unknown,S,1,1,0,Adulto
195,0,3,"Green, Mr. Thomas",male,30.8,0,0,STON/O2 71690,10.5,Unknown,C,1,1,0,Adulto
196,0,1,"Ramírez, Mr. James",male,34.6,0,3,PC 68471,195.5,Unknown,Q,4,0,0,Adulto
197,0,1,"Brown, Mr. Edward",male,39.7,0,0,W./C. 69407,201.63,Unknown,Q,1,1,0,Adulto
198,0,3,"Evans, Miss. Isabella",female,17.6,0,1,STON/O2 18561,9.59,F58,S,2,0,1,Joven
199,1,2,"Hernández, Mr. Daniel",male,25.7,0,0,C.A. 25348,23.96,Unknown,C,1,1,0,Adulto
200,0,1,"Hall, Mr. Alejandro",male,10.7,0,0,LINE 65993,31.81,Unknown,C,1,1,0,Niño
201,0,3,"Lewis, Mr. Alejandro",male,22.8,0,0,STON/O2 28739,21.36,Unknown,S,1,1,0,Adulto
202,0,3,"García, Mr. John",male,36.7,0,0,SOTON 62093,11.03,Unknown,S,1,1,0,Adulto
203,0,1,"Young, Mrs. Elizabeth",female,41.8,0,0,W./C. 24471,94.93,E46,S,1,1,1,Adulto
204,1,3,"Lewis, Mr. James",male,28.1,1,0,A/5 5005,34.61,Unknown,S,2,0,0,Adulto
205,1,3,"Martínez, Miss. Alice",female,0.3,1,0,A/5 77349,12.03,Unknown,S,2,0,0,Niño
206,1,2,"Evans, Mr. Robert",male,52.5,0,0,STON/O2 18481,10.83,Unknown,S,1,1,0,Adulto
207,1,3,"King, Miss. Margaret",female,29.9,0,0,LINE 40454,35.65,Unknown,S,1,1,0,Adulto
208,0,2,"Wilson, Mr. Charles",male,33.2,2,0,STON/O2 20073,22.88,Unknown,S,3,0,0,Adulto
209,1,3,"Young, Mr. Henry",male,29.9,1,0,PC 56929,11.44,Unknown,S,2,0,0,Adulto
210,1,3,"Roberts, Miss. Edith",female,20.0,0,0,LINE 69710,6.29,Unknown,S,1,1,0,Adulto
211,1,1,"Roberts, Mr. Samuel",male,29.1,0,0,W./C. 34500,25.24,Unknown,S,1,1,0,Adulto
212,0,3,"Johnson, Mr. Edward",male,17.5,1,0,W./C. 27561,8.94,Unknown,S,2,0,0,Joven
213,0,1,"Brown, Mr. Daniel",male,13.2,0,0,LINE 21489,81.9,D14,S,1,1,1,Joven
214,1,3,"Green, Mrs. Emily",female,32.8,0,0,LINE 6067,11.05,Unknown,C,1,1,0,Adulto
215,0,2,"Allen, Mr. John",male,26.9,0,1,SOTON 84258,10.85,Unknown,S,2,0,0,Adulto
216,0,3,"Smith, Mr. Henry",male,6.2,0,0,W./C. 35917,26.89,Unknown,S,1,1,0,Niño
217,0,3,"Walker, Mr. John",male,28.5,3,0,W./C. 33904,21.3,Unknown,S,4,0,0,Adulto
218,0,3,"Davies, Mr. Daniel",male,15.4,0,1,LINE 17236,15.58,Unknown,S,2,0,0,Joven
219,0,1,"Green, Mr. George",male,42.3,2,0,SOTON 69879,222.89,Unknown,C,3,0,0,Adulto
220,1,2,"Davies, Mrs. María",female,39.1,1,2,C.A. 91964,45.92,Unknown,S,4,0,0,Adulto
221,1,3,"García, Miss. Edith",female,22.5,0,0,PC 93465,14.7,Unknown,C,1,1,0,Adulto
222,0,3,"Hall, Mr. Daniel",male,17.2,0,0,SOTON 95722,10.76,Unknown,C,1,1,0,Joven
223,1,3,"Clark, Mr. Samuel",male,30.8,0,2,STON/O2 89083,8.49,Unknown,S,3,0,0,Adulto
224,1,3,"Scott, Mrs. Camila",female,36.5,0,0,A/5 24878,9.47,Unknown,S,1,1,0,Adulto
225,0,2,"Taylor, Mr. Miguel",male,55.5,0,2,PC 62480,15.49,Unknown,S,3,0,0,Adulto
226,0,3,"Green, Mr. Arthur",male,29.9,3,1,PC 13809,17.92,Unknown,S,5,0,0,Adulto
227,1,2,"Clark, Mrs. Elizabeth",female,29.9,0,0,LINE 33930,17.34,Unknown,S,1,1,0,Adulto
228,0,1,"García, Mr. Edward",male,29.9,0,0,W./C. 3186,133.91,E99,C,1,1,1,Adulto
229,1,3,"Davies, Miss. Edith",female,14.8,1,0,SOTON 16954,4.62,Unknown,S,2,0,0,Joven
230,0,1,"López, Mrs. Margaret",female,34.3,0,1,STON/O2 46466,51.33,C64,S,2,0,1,Adulto
231,0,3,"Clark, Mr. Thomas",male,46.4,0,1,LINE 85330,40.51,Unknown,S,2,0,0,Adulto
232,1,2,"Hernández, Mrs. Edith",female,29.2,1,1,LINE 31753,27.91,Unknown,S,3,0,0,Adulto
233,0,3,"Evans, Mr. Arthur",male,0.3,1,0,LINE 72848,66.58,Unknown,S,2,0,0,Niño
234,1,1,"Hall, Mrs. Sofía",female,29.1,0,0,PC 71139,140.41,Unknown,S,1,1,0,Adulto
235,0,1,"Hall, Mr. Miguel",male,29.9,2,0,SOTON 95799,230.28,Unknown,C,3,0,0,Adulto
236,1,3,"Taylor, Mrs. Alice",female,29.9,0,0,LINE 16298,5.9,Unknown,Q,1,1,0,Adulto
