PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
30,0,3,"King, Mr. Alejandro", male ,32.6,0,1,C.A. 53925,49.79,,C
31,0,3,"King, Mr. Carlos",MALE,21.2,0,0,SOTON 9809,13.51,,Cherbourg
32,1,3,"Green, Miss. Anna",f,7.9,1,0,PC 83383,8.56,, S 
33,1,3,"Allen, Mrs. Alice",Female,25.4,2,0,W./C. 10179,17.27,,Southampton
34,0,3,"Lewis, Mr. Daniel",M,26.8,0,0,C.A. 53341,7.92,,S
35,0,3,"Hernández, Mr. William",Male,15.6,0,0,PC 8772,7.84,,Southampton
36,0,3,"Smith, Miss. Margaret",female,20.6,1,0,PC 27251,38.31,,s
37,0,3,"Smith, Mrs. Elena", female ,25.8,0,0,SOTON 31550,13.46,,
38,1,1,"Davies, Mrs. Lucía", female ,34.5,3,2,SOTON 45328,108.33,,S
39,0,3,"King, Mr. George",M,6.2,0,2,STON/O2 19047,4.98,,Southampton
40,1,3,"Thomas, Mr. Alejandro",MALE,49.0,0,0,STON/O2 99903,20.75,,S
41,1,3,"Taylor, Mr. Henry",male,15.7,0,4,SOTON 52495,9.91,,southampton
42,1,2,"Green, Miss. Florence",female,2.6,0,1,A/5 64006,45.35,,C
43,0,3,"Hernández, Mr. Edward",MALE,42.3,2,0,PC 5813,11.59,,s
44,0,3,"Clark, Mr. Charles",m,46.4,0,0,C.A. 67425,25.21,,southampton
45,1,1,"García, Mrs. Florence",f,48.7,0,0,LINE 60375,67.83,D16,S
46,0,3,"Wilson, Mr. Alejandro",MALE,null,0,0,PC 84577,5.17,, S 
47,0,3,"López, Mr. James",M,24.3,1,0,STON/O2 38967,5.00,,s
48,0,3,"Lewis, Mrs. María",female,33.0,0,1,STON/O2 74326,8.91,,southampton
49,1,1,"King, Mrs. Margaret", female ,,0,0,STON/O2 35612,44.91,, C 
50,0,2,"Hall, Mr. Alejandro",MALE,unknown,0,2,W./C. 44621,60.27,,Cherbourg
51,0,3,"Smith, Mr. Samuel",Male,49.8,0,1,LINE 69077,30.23,,s
52,1,3,"Wright, Mrs. Helen",F,31.6,0,0,W./C. 65769,34.48,,S
53,1,1,"López, Mr. John",MALE,,0,1,LINE 41434,218.27,,S
54,1,3,"Martínez, Mrs. Alice",f,38.0,0,0,SOTON 8544,11.93,, S 
55,1,3,"Allen, Miss. Margaret",female,13.4,0,0,PC 98538,12.01,,s
56,1,3,"Walker, Miss. Anna",FEMALE,24.3,1,0,STON/O2 94924,6.99,,Cherbourg
57,1,1,"Evans, Mrs. Florence",FEMALE,32.7,0,0,STON/O2 34639,101.10,,Southampton
58,0,3,"Green, Mr. Luis",m,,3,0,A/5 2491,13.55,,Cherbourg
59,1,3,"Ramírez, Mr. Luis",MALE,unknown,2,0,STON/O2 64418,9.21,, C 
60,0,3,"King, Mr. Samuel",m,28.4,1,0,C.A. 93673,12.34,,C
61,1,2,"Young, Mrs. Ethel",FEMALE,26.0,0,0,A/5 96724,28.15,,Cherbourg
62,0,3,"Lewis, Mr. Robert",M,38.5,0,0,PC 78602,18.70,, S 
63,0,3,"Roberts, Mr. Samuel", male ,34.5,0,0,A/5 29488,13.65,,
64,1,3,"Martin, Mrs. Camila",f,34.0,2,2,A/5 71593,8.96,, S 
65,1,1,"Wright, Mrs. Emily",Female,33.1,1,0,A/5 99797,70.39,,Southampton
66,0,2,"Green, Mrs. Elizabeth",Female,34.5,0,0,LINE 77539,77.75,,Southampton
67,1,3,"Clark, Mr. Samuel",Male,,1,0,LINE 78980,10.00,,Q
68,0,2,"Young, Mr. Carlos",MALE,27.2,0,0,PC 43940,32.05,, S 
69,1,3,"Lewis, Mr. Miguel",m,49.1,2,0,W./C. 31420,10.15,,southampton
70,0,3,"Young, Mr. Henry",MALE,50.2,0,0,PC 10323,6.24,,Southampton
71,1,3,"Roberts, Mr. Edward",M,N/A,0,0,LINE 98082,23.13,,S
72,1,2,"Martin, Mrs. María",F,51.9,0,0,W./C. 76798,25.85,,Southampton
73,1,1,"Brown, Mrs. Sofía",Female,38.7,1,1,A/5 12475,270.52,,Southampton
74,0,3,"Martin, Mr. William", male ,unknown,5,0,A/5 62382,6.04,,s
75,0,1,"Green, Mr. George",MALE,14.4,1,0,A/5 62016,161.34,,southampton
76,0,1,"Allen, Mr. Edward", male ,,1,0,W./C. 42013,71.67,,southampton
77,0,1,"Wilson, Mr. Henry",MALE,41.2,1,0,A/5 7628,77.60,, S 
78,0,3,"Evans, Mr. Henry",MALE,47.7,1,0,C.A. 39992,28.65,,q
79,1,1,"Martínez, Mr. Charles",MALE,null,0,0,A/5 52087,95.81,, Q 
80,0,3,"Davies, Mr. Henry",MALE,unknown,0,0,STON/O2 78056,20.72,,s
81,1,2,"Scott, Mrs. Lucía",f,43.0,0,2,STON/O2 37733,25.10,,Southampton
82,0,3,"Green, Mr. Luis",Male,33.0,1,1,W./C. 56627,4.57,, S 
83,0,3,"Brown, Mrs. Camila",Female,48.9,0,0,W./C. 82842,5.18,,S
84,0,3,"Lewis, Mr. Arthur", male ,38.8,0,0,LINE 95125,10.70,,S
85,0,3,"Davies, Mrs. Elizabeth",F,44.0,0,0,A/5 44018,13.64,,Southampton
86,0,1,"Green, Mr. Samuel",MALE,37.4,0,1,C.A. 81033,71.82,,Cherbourg
87,0,3,"Wilson, Mr. Robert",male,15.1,2,0,PC 63139,10.43,, C 
88,1,1,"Allen, Mrs. Emily",f,null,0,0,STON/O2 9971,100.46,,
89,1,3,"Davies, Mr. Carlos",Male,25.5,0,0,LINE 28445,14.99,,s
90,0,1,"Wright, Mr. John",m,53.0,1,N/A,LINE 27958,112.20,,cherbourg
91,0,3,"Young, Mr. George",m,25.3,0,0,PC 19813,6.43,,S
92,1,3,"Walker, Mr. Samuel",MALE,21.8,0,0,C.A. 40976,10.85,,s
93,1,3,"Walker, Mr. Carlos", male ,38.8,0,0,C.A. 84986,15.87,,c
94,1,3,"Thomas, Mr. Carlos",MALE,49.6,0,0,W./C. 99260,12.53,,S
95,0,2,"Brown, Mr. Thomas",male,37.3,0,0,PC 61540,23.88,,Southampton
96,0,2,"Walker, Mr. William",m,59.0,0,0,LINE 36826,36.46,,s
97,0,3,"Evans, Mr. Daniel",male,26.1,1,0,LINE 7590,12.04,,Southampton
98,0,2,"Thomas, Mr. Miguel", male ,46.8,1,0,PC 92889,56.37,, S 
99,0,3,"Hall, Mr. George",m,9.1,2,0,W./C. 17950,21.54,,southampton
100,1,3,"Evans, Mr. Arthur",Male,26.8,0,0,C.A. 87340,17.41,,cherbourg
101,0,3,"Walker, Miss. Isabella",female,21.6,0,0,W./C. 82569,18.67,,Queenstown
102,1,3,"Hall, Mr. Samuel",Male,5.4,0,0,W./C. 93072,6.41,,Southampton
103,1,3,"Ramírez, Mr. George",Male,22.3,2,0,W./C. 60169,9.75,, S 
104,1,3,"García, Mrs. Ethel",F,29.9,0,1,C.A. 73808,18.85,,Southampton
105,0,3,"Brown, Mr. Charles",MALE,21.6,0,0,A/5 95632,7.88,,southampton
106,0,3,"Taylor, Mr. George",MALE,70.3,0,0,PC 9308,2.98,,Cherbourg
107,1,3,"Roberts, Mrs. Margaret",Female,59.3,2,0,PC 88990,15.41,,southampton
108,1,1,"King, Mrs. Lucía",female,null,1,-1,W./C. 35069,56.83,A31, S 
109,0,2,"Wright, Mr. Edward",Male,21.5,0,0,A/5 27144,56.34,, S 
110,0,3,"Davies, Mr. Arthur",Male,34.8,1,1,C.A. 48405,19.63,, S 
111,1,3,"Hernández, Miss. Anna",female,5.2,0,1,W./C. 13471,10.86,,Southampton
112,1,1,"Wright, Miss. María",Female,3.8,2,0,LINE 88873,165.15,,S
113,0,3,"Lewis, Mr. James",Male,,0,3,PC 55781,9.19,, S 
114,0,1,"Allen, Mr. Samuel",Male,26.2,0,1,PC 90222,248.39,, S 
115,1,3,"Brown, Mr. James",male,31.4,0,0,W./C. 1461,11.79,, S 
116,1,3,"Green, Miss. Elizabeth",female,,0,0,PC 29010,15.40,,S
117,0,2,"Davies, Miss. Lucía",F,19.8,0,0,C.A. 78056,34.23,,Queenstown
118,1,3,"Allen, Mrs. Alice",f,-3,0,0,PC 5908,14.43,, S 
119,0,2,"Roberts, Miss. Margaret",F,23.7,0,0,A/5 72347,18.22,F61,s
120,0,3,"Davies, Mr. Alejandro", male ,27.0,1,2,STON/O2 34347,13.70,,Cherbourg
121,0,2,"Scott, Mr. William",male,31.5,0,0,LINE 16575,43.98,,southampton
122,1,3,"Hall, Mrs. Edith", female ,N/A,0,3,PC 62471,12.40,,C
123,1,1,"Young, Mrs. Ethel",female,44.7,0,1,W./C. 83414,85.00,,southampton
124,0,3,"Evans, Mr. Arthur", male ,25.5,0,0,W./C. 70333,18.56,,c
125,0,2,"Wright, Mr. James",m,30.1,0,0,C.A. 73728,15.79,, S 
126,1,1,"King, Mr. Henry",Male,23.2,0,0,STON/O2 44703,41.73,,s
127,0,3,"Martin, Mr. Edward",Male,39.7,4,0,SOTON 42210,23.70,,S
128,0,2,"Ramírez, Mrs. Emily",FEMALE,26.3,1,2,PC 22622,36.06,,southampton
129,no,3,"Wilson, Mrs. Anna",F,39.9,4,0,LINE 39572,16.51,, S 
130,0,2nd,"Young, Mr. James", male ,34.8,0,0,W./C. 22154,13.15,,southampton
131,0,1,"Smith, Mr. Arthur", male ,39.5,0,0,SOTON 69960,253.61,C20,Q
132,0,1,"Hernández, Mr. Miguel",m,null,2,0,SOTON 5875,113.03,,s
133,0,2,"Martin, Miss. Mary",female,17.3,0,0,STON/O2 25319,33.08,, S 
134,0,2,"Davies, Mrs. María",female,43.8,0,0,STON/O2 15498,64.37,,
135,0,3,"Johnson, Mr. Arthur",male,24.9,0,2,LINE 99180,21.77,,southampton
136,0,2,"Clark, Mr. James", male ,56.1,many,0,STON/O2 78176,21.60,,
137,0,1,"Martínez, Mr. John",M,43.1,1,,A/5 75907,63.38,,southampton
138,1,3,"King, Mrs. María",female,26.3,1,0,LINE 79557,3.87,,s
139,0,2,"Green, Mr. Henry",m,22.6,0,1,A/5 80291,22.84,E17,q
140,1,1,"Hall, Mr. Edward",MALE,12.7,2,0,C.A. 16390,81.24,C87,southampton
141,0,3,"Davies, Mr. Carlos",male,27.1,0,2,LINE 87953,18.18,, C 
142,0,2,"King, Mr. Henry",M,null,0,0,W./C. 86628,31.16,, S 
143,1,3,"Wilson, Mr. Arthur",m,31.6,0,0,STON/O2 89912,9.83,,s
144,0,3,"Green, Mr. Robert",Male,33.0,0,3,PC 52940,6.20,,Southampton
145,0,3,"Wright, Mr. Henry",male,20.3,4,0,SOTON 41479,10.14,, S 
146,1,3,"Young, Mrs. Florence",female,null,0,0,LINE 81754,10.03,,s
147,0,3,"Clark, Mr. Alejandro",m,19.2,1,0,PC 95463,18.31,,Southampton
148,1,3,"Lewis, Miss. Anna",f,null,1,0,W./C. 44399,34.93,,S
149,0,3,"King, Mr. Carlos",m,3.7,0,0,STON/O2 77452,7.90,,cherbourg
150,0,2,"King, Mr. Charles",MALE,7.2,0,0,SOTON 39655,20.11,,cherbourg
151,1,2,"Johnson, Mrs. Lucía",Female,29.5,4,0,C.A. 76745,13.11,,S
152,0,3,"Young, Mrs. Alice",F,null,0,0,SOTON 2876,9.51,,Southampton
153,0,3,"Allen, Mr. Arthur", male ,7.4,0,0,W./C. 70255,10.90,,southampton
154,0,3,"Green, Mr. John",M,17.8,0,0,W./C. 15662,8.45,,Southampton
155,1,3,"Roberts, Mr. James",male,3.3,3,0,A/5 76929,10.15,, S 
156,1,1,"King, Mrs. Sofía",f,28.7,1,0,LINE 3149,92.05,, S 
157,0,1,"Allen, Mr. Henry",Male,unknown,0,two,A/5 47808,55.66,,Cherbourg
158,1,1,"Hernández, Mrs. Margaret", female ,40.4,0,1,A/5 31936,67.81,, S 
159,0,3,"Hernández, Mr. Edward",M,25.0,0,0,C.A. 63380,12.57,,Southampton
160,0,2,"Allen, Mr. Samuel", male ,46.0,0,0,W./C. 1912,46.24,,s
161,0,3,"Martin, Mr. Daniel", male ,16.6,0,0,C.A. 58134,24.69,,S
162,1,2,"Johnson, Miss. Mary",female,,1,0,C.A. 96992,32.35,,Southampton
163,0,3,"Lewis, Mr. Henry",Male,46.6,0,2,PC 78817,2.61,,c
164,1,3,"Evans, Mrs. Margaret", female ,47.2,0,0,SOTON 97390,6.99,, S 
165,1,2,"Clark, Mrs. Margaret",F,31.2,2,0,SOTON 19217,9.55,,s
166,1,3,"Ramírez, Miss. María", female ,unknown,1,0,W./C. 20115,5.55,, S 
167,0,3,"Davies, Mr. Robert",male,N/A,0,0,SOTON 47780,15.91,,Q
168,0,3,"Thomas, Mr. Luis",male,N/A,0,1,PC 83469,9.98,,s
169,1,1,"Johnson, Mr. Alejandro",MALE,21.0,0,1,PC 39586,55.91,,s
170,0,3,"Wright, Mr. Samuel", male ,N/A,1,0,LINE 65189,14.19,,s
171,1,1,"Martin, Mrs. Lucía",female,38.5,2,0,A/5 22254,48.74,,s
172,1,3,"Evans, Mrs. Elizabeth",Female,43.7,2,0,STON/O2 66876,10.85,,S
173,1,1st,"Hall, Mrs. Anna",F,46.3,0,0,PC 36850,13.34,,q
174,1,2,"Lewis, Mr. Arthur",MALE,null,0,1,STON/O2 69228,14.54,,Southampton
175,1,2,"García, Miss. Elena",F,3.6,0,1,W./C. 98467,32.65,,s
176,0,2,"Allen, Mr. Arthur",Male,N/A,1,1,C.A. 22074,8.73,,C
177,1,2,"Walker, Mr. George",MALE,18.7,N/A,0,W./C. 55737,22.13,, C 
178,0,1,"Walker, Mr. Carlos",Male,thirty,0,0,C.A. 52524,217.21,,
179,0,1,"Clark, Mr. Daniel", male ,24.2,1,0,LINE 17930,112.45,,Southampton
180,0,3,"Hall, Mr. James",m,42.1,0,0,STON/O2 22263,8.67,, C 
181,0,3,"Green, Mr. Arthur",m,11.9,0,0,SOTON 15235,23.05,,Cherbourg
182,1,1,"Lewis, Miss. Alice",f,8.1,0,1,C.A. 98048,50.45,,c
183,1,2,"Young, Mrs. Helen", female ,40.4,0,0,C.A. 17075,29.95,,Queenstown
184,1,1,"Allen, Mr. Luis", male ,52.5,1,0,C.A. 98753,76.01,, S 
185,1,2,"Wilson, Mr. Miguel",M,37.1,1,0,PC 38921,36.24,,s
186,1,3,"López, Mr. Luis",Male,5.0,0,1,LINE 11939,20.89,,southampton
187,0,3,"Walker, Miss. Sofía",Female,5.4,1,0,PC 99142,11.98,,queenstown
188,0,1,"Wright, Miss. Lucía",FEMALE,12.6,0,0,PC 90783,9999,E90, S 
189,1,3,"King, Miss. Alice",female,1.3,0,0,STON/O2 86786,29.13,,c
190,1,1,"Hall, Miss. Isabella", female ,21.7,0,2,SOTON 89871,66.88,B35,S
191,1,3,"Brown, Mr. Daniel",MALE,N/A,0,2,LINE 11844,56.23,,Cherbourg
192,0,3,"Davies, Mrs. Emily", female ,31.1,0,0,STON/O2 19720,17.22,,S
193,1,3,"Hall, Mrs. Lucía",Female,38.3,0,2,LINE 21401,7.22,,Southampton
194,0,3,"López, Mr. Alejandro", male ,null,0,0,C.A. 70927,16.15,,southampton
195,0,3,"Green, Mr. Thomas",Male,30.8,0,0,STON/O2 71690,10.50,,cherbourg
196,0,1,"Ramírez, Mr. James",MALE,34.6,0,3,PC 68471,195.50,,q
197,0,1,"Brown, Mr. Edward",m,39.7,0,0,W./C. 69407,201.63,,Queenstown
198,0,3,"Evans, Miss. Isabella",f,17.6,0,1,STON/O2 18561,9.59,F58,s
199,1,2,"Hernández, Mr. Daniel",m,25.7,0,0,C.A. 25348,23.96,,c
200,0,1,"Hall, Mr. Alejandro",MALE,10.7,0,0,LINE 65993,31.81,, C 
201,0,3,"Lewis, Mr. Alejandro", male ,22.8,0,0,STON/O2 28739,21.36,,s
202,0,3,"García, Mr. John",M,36.7,0,0,SOTON 62093,11.03,,Southampton
203,0,1,"Young, Mrs. Elizabeth",Female,41.8,0,0,W./C. 24471,94.93,E46,southampton
204,1,3,"Lewis, Mr. James",M,28.1,1,0,A/5 5005,34.61,,Southampton
205,1,3,"Martínez, Miss. Alice",Female,0.3,1,0,A/5 77349,12.03,, S 
206,1,2,"Evans, Mr. Robert",Male,52.5,0,0,STON/O2 18481,10.83,, S 
207,1,3,"King, Miss. Margaret",Female,,0,0,LINE 40454,35.65,, S 
208,0,2,"Wilson, Mr. Charles",m,33.2,2,0,STON/O2 20073,22.88,, S 
209,1,3,"Young, Mr. Henry",male,,1,0,PC 56929,11.44,,southampton
210,1,3,"Roberts, Miss. Edith",f,20.0,0,0,LINE 69710,6.29,,S
211,1,1,"Roberts, Mr. Samuel",MALE,29.1,0,0,W./C. 34500,25.24,,Southampton
212,0,3,"Johnson, Mr. Edward",m,17.5,1,0,W./C. 27561,8.94,,Southampton
213,0,1,"Brown, Mr. Daniel",M,13.2,0,0,LINE 21489,81.90,D14,Southampton
214,1,3,"Green, Mrs. Emily",female,32.8,0,0,LINE 6067,11.05,,C
215,0,2,"Allen, Mr. John",M,26.9,0,1,SOTON 84258,10.85,,southampton
216,0,3,"Smith, Mr. Henry",MALE,6.2,0,0,W./C. 35917,26.89,,s
217,0,3,"Walker, Mr. John",m,28.5,3,0,W./C. 33904,21.30,,Southampton
218,0,3,"Davies, Mr. Daniel",MALE,15.4,0,1,LINE 17236,15.58,,southampton
219,0,1,"Green, Mr. George",Male,42.3,2,0,SOTON 69879,222.89,, C 
220,1,2,"Davies, Mrs. María",FEMALE,39.1,1,2,C.A. 91964,45.92,,Southampton
221,1,3,"García, Miss. Edith", female ,22.5,,0,PC 93465,14.70,,Cherbourg
222,0,3,"Hall, Mr. Daniel",MALE,17.2,0,0,SOTON 95722,10.76,,cherbourg
223,1,3,"Clark, Mr. Samuel",male,30.8,0,2,STON/O2 89083,8.49,,S
224,1,3,"Scott, Mrs. Camila",FEMALE,36.5,0,0,A/5 24878,9.47,,Southampton
225,0,2,"Taylor, Mr. Miguel",m,55.5,0,2,PC 62480,15.49,,southampton
226,0,3,"Green, Mr. Arthur",Male,,3,1,PC 13809,17.92,,Southampton
227,1,2,"Clark, Mrs. Elizabeth",F,N/A,0,0,LINE 33930,17.34,,s
228,0,1," García, Mr. Edward ",MALE,unknown,0,0,W./C. 3186,133.91,E99,c
229,1,3,"Davies, Miss. Edith",f,14.8,1,0,SOTON 16954,4.62,,s
230,0,1,"López, Mrs. Margaret",female,34.3,0,1,STON/O2 46466,51.33,C64,S
231,0,3,"Clark, Mr. Thomas",Male,46.4,0,1,LINE 85330,40.51,, S 
232,1,2,"Hernández, Mrs. Edith", female ,29.2,1,1,LINE 31753,27.91,,S
233,0,3,"Evans, Mr. Arthur", male ,0.3,1,0,LINE 72848,66.58,,S
234,1,1,"Hall, Mrs. Sofía", female ,29.1,0,0,PC 71139,140.41,,s
235,0,1,"Hall, Mr. Miguel",M,unknown,2,0,SOTON 95799,230.28,, C 
236,1,3,"Taylor, Mrs. Alice",FEMALE,,0,0,LINE 16298,5.90,,Q
237,1,2,"Scott, Miss. Alice",FEMALE,8.5,0,0,SOTON 7159,21.43,,Cherbourg
238,1,2,"Walker, Mr. Arthur",male,9.2,0,0,C.A. 98645,38.80,,Southampton
239,1,1,"Lewis, Mr. Carlos", male ,32.2,0,3,C.A. 87322,53.19,,S
240,0,3,"Martínez, Mr. John",Male,17.5,2,0,PC 61870,9.45,, S 
241,0,3,"Lewis, Mr. Charles",Male,unknown,0,2,LINE 14397,20.18,,Southampton
242,0,1,"Wilson, Mr. Daniel",Male,N/A,0,0,STON/O2 27303,114.67,,Southampton
243,0,3,"Martínez, Mr. Alejandro", male ,7.1,0,0,SOTON 68536,19.36,,southampton
244,0,3,"Evans, Mr. Miguel", male ,null,0,0,W./C. 69797,25.26,, S 
245,0,3,"Clark, Mr. Robert",male,null,3,0,A/5 11657,12.92,F60,southampton
246,1,3,"Walker, Mrs. Lucía", female ,56.2,1,2,SOTON 46009,7.30,,Southampton
247,0,3,"Johnson, Mr. Henry",M,unknown,1,0,W./C. 37662,11.36,,C
248,0,3,"Smith, Mr. Alejandro",male,N/A,0,0,A/5 63381,35.38,, S 
249,1,3,"Thomas, Mr. Charles",m,130,1,2,SOTON 25784,14.46,,Southampton
250,0,3,"Martínez, Mr. Miguel",male,25.6,0,4,SOTON 13424,9.72,,Cherbourg
251,0,2,"Scott, Mr. Miguel",male,31.7,0,0,W./C. 76225,21.80,,S
252,0,3,"Young, Mr. Miguel",Male,,0,3,LINE 11077,14.36,,southampton
253,1,1,"Green, Mrs. Edith",F,53.6,1,0,PC 65927,142.13,,C
254,0,3,"Martínez, Mr. Henry",male,20.1,0,0,STON/O2 68012,77.89,,Southampton
255,1,3,"Green, Miss. Emily",,10.2,0,1,C.A. 43191,9.70,,q
256,0,2,"Martin, Mrs. Isabella",f,38.6,1,0,PC 1091,60.16,D157,Southampton
257,0,3,"Lewis, Mr. Samuel",male,23.3,4,0,STON/O2 63305,6.93,,queenstown
258,1,3,"Taylor, Mrs. Anna",Female,40.2,1,1,LINE 39689,17.45,, S 
259,0,3,"Smith, Mr. Arthur",M,19.4,1,0,STON/O2 35594,26.47,,Southampton
260,0,3,"Hall, Mr. Arthur",male,41.5,0,1,STON/O2 15438,11.83,,Cherbourg
261,1,1,"Green, Mr. George",male,26.0,2,0,SOTON 63996,40.84,, C 
262,0,3,"Johnson, Mr. Arthur",M,17.6,1,1,STON/O2 58341,20.57,,Cherbourg
263,0,2,"King, Mr. Arthur",m,26.2,0,0,PC 8740,30.59,,southampton
264,0,3,"Smith, Mrs. Edith",female,27.8,2,0,PC 6236,28.49,,S
265,1,1,"Young, Miss. Sofía",FEMALE,23.2,2,0,C.A. 44397,145.30,,s
266,1,1,"López, Mr. Thomas",MALE,25.9,0,2,W./C. 24869,67.82,,S
267,1,1,"Wright, Mr. Carlos",m,11.3,0,0,W./C. 76150,60.84,E47, C 
268,0,2,"Wright, Mr. Edward",Male,null,2,0,LINE 96915,19.20,, S 
269,0,2,"Allen, Mr. Samuel",MALE,36.2,1,0,A/5 90250,28.34,,s
270,0,3,"Wright, Mrs. Margaret", female ,unknown,0,0,W./C. 80091,14.06,,C
271,0,3,"Brown, Mr. John",male,N/A,3,2,A/5 52959,16.90,,Southampton
272,1,3,"Green, Mr. Samuel",male,N/A,0,0,LINE 91402,16.96,,Cherbourg
273,0,3,"Hall, Mr. Alejandro",MALE,69.2,0,1,LINE 4700,N/A,,S
274,0,3,"Brown, Mr. James",M,N/A,3,0,C.A. 74261,15.60,, S 
275,1,3,"Taylor, Mr. Samuel",M,,0,0,W./C. 82227,30.30,,southampton
276,1,2,"Martin, Mr. William",M,N/A,1,0,A/5 23517,39.03,,c
277,0,3,"Martin, Mr. George",Male,33.5,0,1,A/5 8131,5.12,, S 
278,0,1,"Taylor, Mr. Daniel",MALE,57.0,0,0,A/5 60174,72.80,B106,southampton
279,1,3,"Ramírez, Mr. Edward",Male,unknown,0,0,PC 91214,8.03,,s
280,0,3,"García, Mr. Robert",m,7.2,0,2,A/5 89885,19.04,,Southampton
281,0,1,"Lewis, Mr. Daniel",male,N/A,0,2,LINE 39605,34.86,,
282,1,1,"Evans, Mr. Arthur",m,9.4,1,0,A/5 23719,42.39,B4, S 
283,1,3,"Johnson, Mrs. Margaret",FEMALE,50.6,0,1,LINE 38657,19.10,,cherbourg
284,0,3,"Johnson, Mr. Alejandro",male,22.2,0,0,W./C. 76303,25.28,, S 
285,0,2,"Wilson, Mr. Edward",m,32.7,0,0,STON/O2 56923,9.60,,s
286,0,3,"Taylor, Mr. George",m,29.3,0,0,A/5 53693,16.77,,
287,1,3,"Davies, Miss. Elizabeth", female ,23.3,0,0,STON/O2 1605,21.94,, S 
288,1,1,"Davies, Mr. George",male,51.0,0,0,PC 3723,111.00,,Queenstown
289,0,2,"Martin, Mr. Alejandro",Male,67.5,0,0,SOTON 4844,11.79,,S
290,0,3,"Allen, Mr. Alejandro",MALE,null,0,0,PC 95981,14.80,,s
291,0,2,"Brown, Mrs. Mary",FEMALE,26.5,1,0,PC 56606,27.28,,Southampton
292,0,3,"Roberts, Mr. James",M,50.0,0,1,A/5 6407,15.59,,southampton
293,1,2,"Hall, Mr. John",Male,unknown,0,4,SOTON 29625,9.23,,S
294,0,3,"Wright, Mr. George",Male,7.5,1,0,STON/O2 89915,18.53,,southampton
295,1,1,"King, Mr. Edward",MALE,42.7,0,1,STON/O2 61588,47.33,,q
296,0,2,"King, Mr. Carlos",m,27.8,0,0,PC 79020,15.45,,S
297,0,2,"Hernández, Mr. Henry",M,12.1,0,0,STON/O2 43058,22.52,F130, Q 
298,1,3,"Ramírez, Mrs. Elena",Female,32.1,0,0,PC 23529,13.02,,Southampton
299,1,1,"López, Mr. Charles",M,,2,0,W./C. 80621,45.35,,Southampton
300,0,3,"Roberts, Mr. Alejandro",M,48.0,2,0,C.A. 7421,10.54,,Southampton
301,0,3,"García, Mr. Edward", male ,3.3,0,0,PC 3599,19.91,,Southampton
